ph0,ph1,type,is_upma,syn_0,syn_1,phrase_0,phrase_1,contrast,content
Butt dial,Booty call,upma,True,9,9,9,9,2,"{'syn_0': '""Butt"" and ""Booty"" both refer to the human posterior, often used in informal or slang contexts. They share similar meanings in this regard, with ""booty"" sometimes connoting a more playful or attractive aspect. \n\nRating: 9', 'syn_1': '""Dial"" and ""call"" both relate to the act of making a phone call, with ""dial"" referring to the action of entering a number and ""call"" referring to the whole process of connecting or conversing over the phone. Their meanings are closely related. \n\nRating: 9', 'phrase_0': 'Yes, ""butt dial"" is a recognized phrase referring to accidentally calling someone from a mobile phone due to it being inadvertently activated in someone\'s pocket. It is commonly used in informal contexts and social conversations.\n\nRating: 9', 'phrase_1': 'Yes, ""booty call"" is a recognized phrase commonly used to refer to a call or message made to someone with the intention of engaging in casual sexual activity. It is widely understood in popular culture, especially in relation to dating and relationships.\n\nRating: 9', 'contrast': '""Butt dial"" and ""booty call"" do not have a similar meaning. A ""butt dial"" refers to unintentionally calling someone due to sitting on a phone, while a ""booty call"" refers to a late-night call or message to arrange a casual sexual encounter. \n\nRating: 2'}"
Father figure,Dad bod,upma,True,9,7,9,8,2,"{'syn_0': 'Yes, ""Father"" and ""Dad"" both refer to a male parent and share a similar meaning in general context. While ""Father"" can carry a more formal tone, and ""Dad"" is more informal and affectionate, they ultimately denote the same role. \n\nRating: 9', 'syn_1': 'Yes, ""figure"" and ""bod"" can share a meaning in the context of describing someone\'s physique or body shape, often used in a slang context. \n\nRating: 7', 'phrase_0': '""Father figure"" is a recognized phrase commonly used to describe a man who assumes a fatherly role, either in a family or a mentorship context. It carries emotional and social significance in both literature and everyday language.\n\nRating: 9', 'phrase_1': 'Yes, ""Dad bod"" is a recognized phrase that refers to a body shape commonly associated with middle-aged men who may have a slight belly but aren\'t excessively overweight. It reflects a laid-back and comfortable attitude towards fitness and body image. \n\nRating: 8', 'contrast': '""Father figure"" typically refers to a man who provides guidance, support, or a paternal presence, while ""Dad bod"" describes a physique that is slightly overweight or out of shape, often associated with middle-aged men. Their meanings are quite different.\n\nRating: 2'}"
Home schooled,House trained,upma,True,7,8,8,9,1,"{'syn_0': '""Home"" and ""House"" share similar meanings, as both refer to a place where people live. However, ""home"" often conveys a sense of belonging and emotional warmth, while ""house"" is more about the physical structure. Their similarity in meaning is strong, but not identical.\n\nRating: 7', 'syn_1': '""Schooled"" and ""trained"" both refer to the process of learning or gaining skills, often in a formal context. While ""schooled"" can also imply a level of reprimand or being taught a lesson, its primary meaning aligns closely with education, similar to ""trained,"" which focuses on acquiring specific skills or abilities. Therefore, they share a significant overlap in meaning.\n\nRating: 8', 'phrase_0': 'Yes, ""home schooled"" is a recognized phrase commonly used to describe the educational practice of teaching children at home rather than in traditional schools. It is widely understood and accepted in educational discourse. \n\nRating: 8', 'phrase_1': 'Yes, ""house trained"" is a recognized phrase commonly used to describe pets, particularly dogs, that have been taught to relieve themselves outside or in a designated area rather than indoors. It is a standard term in pet care and animal behavior contexts.\n\nRating: 9', 'contrast': '""Home schooled"" refers to an educational practice where children are taught at home rather than in a traditional school setting. ""House trained"" refers to an animal, usually a pet, that has been taught to relieve itself in appropriate places, such as outside or on a designated spot.\n\nThese terms refer to entirely different concepts, one being about education and the other about behavior/training of animals.\n\nSimilarity rating: 1/10\n\nRating: 1'}"
Manual labor,Hand job,upma,True,7,8,10,8,1,"{'syn_0': '""Manual"" and ""Hand"" do share a meaning related to tasks done by hand or physically, as in ""manual labor"" or ""handwork."" However, they do not share slang or vulgar meanings that align. \n\nRating: 7', 'syn_1': 'Yes, ""labor"" and ""job"" both refer to work or employment, with ""labor"" often implying physical or hard work, while ""job"" generally refers to a position of employment. Both terms convey a sense of work, making their meanings similar. \n\nRating: 8', 'phrase_0': 'Yes, ""manual labor"" is a recognized phrase used widely to refer to physical work done by hand. It is not only proper terminology but also common in discussions about economics, labor rights, and various industries. \n\nRating: 10', 'phrase_1': 'Yes, ""hand job"" is a recognized phrase commonly used in informal contexts to refer to a specific sexual act involving manual stimulation. It is widely understood in popular culture and slang. \n\nRating: 8', 'contrast': 'No, ""manual labor"" refers to physical work often involving hands and physical effort, while ""hand job"" is a slang term for a sexual act involving the hands. They have different contexts and meanings. \n\nRating: 1'}"
Forest fire,Amazon Kindle,upma,True,7,9,9,9,1,"{'syn_0': '""Forest"" and ""Amazon"" can share a meaning in the context of a large area filled with trees and wildlife, as the Amazon rainforest is a vast forested region. While ""forest"" is a general term, ""Amazon"" specifically refers to this notable rainforest. They are related but not identical; thus, the similarity rating reflects their connection. \n\nRating: 7', 'syn_1': '""Fire"" and ""Kindle"" both relate to the act of igniting or starting a flame, as well as metaphorically to sparking interest or passion. Given their close relationship in these contexts, I\'ll rate their similarity. \n\nRating: 9', 'phrase_0': 'Yes, ""forest fire"" is a recognized phrase commonly used to refer to uncontrolled fires in forested areas. It is widely understood in environmental discussions, disaster management, and public safety contexts. \n\nRating: 9', 'phrase_1': 'Yes, ""Amazon Kindle"" is a widely recognized phrase, being the name of Amazon\'s popular e-reader device. It has become synonymous with e-books and digital reading. \n\nRating: 9', 'contrast': 'No, ""Forest fire"" and ""Amazon Kindle"" do not have similar meanings. A forest fire is a natural disaster involving uncontrolled flames in a forest, while an Amazon Kindle is an electronic device for reading e-books. \n\nRating: 1'}"
Community building,Fraternity house,upma,True,7,8,9,9,5,"{'syn_0': '""Community"" and ""Fraternity"" both emphasize a sense of belonging and connection among individuals, often highlighting shared interests or bonds. While ""community"" may refer broadly to a group of people living in the same area or sharing common interests, ""fraternity"" typically refers to a specific type of close-knit group, often associated with brotherhood, especially in social or academic contexts. \n\nSimilarity Rating: 7/10\n\nRating: 7', 'syn_1': '""Building"" and ""house"" both refer to physical structures used for shelter or habitation, with ""house"" being a specific type of building. \n\nRating: 8', 'phrase_0': 'Yes, ""community building"" is a recognized phrase commonly used in contexts such as social work, urban development, online forums, and organizational development. It refers to the process of fostering engagement, connection, and collaboration within a group. \n\nRating: 9', 'phrase_1': 'Yes, ""fraternity house"" is a recognized phrase commonly used to refer to a social dwelling for members of a fraternity, particularly in the context of college campuses. It has significant cultural relevance in the U.S. and is widely understood. \n\nRating: 9', 'contrast': '""Community building"" refers to the process of fostering relationships and a sense of belonging among individuals within a group, often aimed at enhancing social connections and cooperation. A ""fraternity house"" is a physical residence for members of a fraternity, which often serves as a social hub for building relationships among its members.\n\nWhile both concepts involve social interaction and relationships, they differ significantly in their scope and context. \n\nSimilarity Rating: 5/10  \nRating: 5'}"
Nap room,Sleeper cell,upma,True,7,5,8,8,2,"{'syn_0': 'Yes, ""nap"" and ""sleeper"" can share a meaning in that both relate to sleep, with ""nap"" referring to a short period of sleep and ""sleeper"" often relating to someone who sleeps or a type of sleep. However, ""sleeper"" can also refer to other meanings, such as a sleeper car on a train or a sleeper hit (a success that grows in popularity unexpectedly), which diverges from the primary meaning of sleep. \n\nConsidering their most similar meaning related to sleep, I would rate their similarity:\n\nRating: 7', 'syn_1': 'Yes, ""room"" and ""cell"" can share a meaning in the context of a small enclosed space, such as in a prison (which can colloquially be referred to as a ""cell""). While they typically have distinct meanings, the overlapping sense of being a confined space makes them somewhat similar. \n\nRating: 5', 'phrase_0': '""Nap room"" is a recognized phrase, commonly used in workplaces, schools, and wellness centers to refer to a designated area for short naps, particularly to boost productivity and well-being. It\'s understood in various contexts related to relaxation and stress management.\n\nRating: 8', 'phrase_1': '""Sleeper cell"" is a recognized phrase commonly used in discussions about terrorism, particularly to describe a group of operatives who remain inactive until activated. It has also entered popular culture through media and literature. I would rate it an 8 out of 10 for its prominence and usage in various contexts.\n\nRating: 8', 'contrast': '""Nap room"" refers to a place designed for short rests or naps, typically in a workplace or wellness context. ""Sleeper cell,"" however, refers to a group of spies or terrorists who remain inactive until activated for a mission. The meanings are quite different.\n\nRating: 2'}"
Geometric mean,Circle jerk,upma,True,6,7,9,8,1,"{'syn_0': '""Geometric"" relates to shapes and mathematical properties, while ""Circle"" specifically refers to a round shape. They share a connection through geometry, where circles are fundamental geometric figures. However, their meanings are distinct. \n\nRating: 6', 'syn_1': '""Mean"" typically refers to being unkind or hurtful, while ""jerk"" is often used to describe a rude or inconsiderate person. They both can describe unkind behavior, making them somewhat similar in that context. \n\nRating: 7', 'phrase_0': 'Yes, ""Geometric mean"" is a recognized phrase in mathematics and statistics, commonly used in various fields including finance, science, and economics. It refers to a specific way of calculating an average that is particularly useful for sets of positive numbers.\n\nRating: 9', 'phrase_1': 'Yes, ""circle jerk"" is a recognized phrase, often used colloquially to describe a situation where a group of people engage in mutual self-congratulatory behavior or support each other\'s opinions without critical discussion. It has also been used in online communities to denote echo chambers. \n\nRating: 8', 'contrast': 'No, ""Geometric mean"" and ""Circle jerk"" do not have similar meanings. The geometric mean is a mathematical concept, while circle jerk refers to a discussion or activity where individuals reinforce each other\'s ideas without critical thought. \n\nRating: 1'}"
Bottom feeder,Ass eater,upma,True,8,5,9,5,3,"{'syn_0': 'Yes, ""Bottom"" and ""Ass"" can share a meaning in the context of referring to someone\'s rear end, particularly in slang usage. \n\nRating: 8', 'syn_1': '""Feeder"" and ""eater"" do share a meaning related to food consumption, where a ""feeder"" may refer to someone who provides food and an ""eater"" refers to one who consumes it. However, their primary meanings differ in focus on action versus role, leading to a weaker connection overall. \n\nRating: 5', 'phrase_0': 'Yes, ""bottom feeder"" is a recognized phrase commonly used in various contexts, including ecology, finance, and informal discussions to describe someone or something that exploits less desirable resources or situations. \n\nRating: 9', 'phrase_1': '""Ass eater"" is a slang term often used in a vulgar or humorous context, typically referring to someone who engages in analingus. While it may not be suitable for formal conversation, it is recognized in certain subcultures and informal discussions. Due to its explicit nature, its utilization is quite niche.\n\nRating: 5', 'contrast': '""Bottom feeder"" generally refers to a person or creature that feeds on the less desirable or low-status aspects of a situation, often with a negative connotation. ""Ass eater"" typically refers to someone who engages in or enjoys certain sexual practices, often with a crude implication. The terms have different connotations and contexts, leading to limited similarity.\n\nRating: 3'}"
Unit vector,One Direction,upma,True,6,7,9,10,2,"{'syn_0': '""Unit"" and ""One"" can share a meaning in the context of referring to a single item or entity. In some contexts, ""unit"" can refer to a distinct part of a whole, which can align with ""one"" as a single quantity. However, ""unit"" often has specific uses in measurement or classification that might not correlate directly with ""one.""\n\nRating: 6', 'syn_1': 'The terms ""vector"" and ""direction"" are related in the context of physics and mathematics, as vectors indicate both magnitude and direction. However, ""vector"" also has specific meanings in fields like biology, where it refers to an agent (like a mosquito) that transmits disease. In general usage, though, both terms imply some sense of orientation or movement.\n\nRating: 7', 'phrase_0': 'Yes, ""unit vector"" is a recognized term in mathematics and physics. It refers to a vector that has a magnitude of one and is often used to indicate direction. It is commonly used in various fields such as engineering, physics, and computer graphics.\n\nRating: 9', 'phrase_1': 'Yes, ""One Direction"" is a recognized phrase, widely known as the name of the popular British-Irish boy band that gained fame in the early 2010s. It has strong cultural significance and is well-known among music fans.\n\nRating: 10', 'contrast': '""Unit vector"" and ""One Direction"" do not have similar meanings. A unit vector is a vector with a magnitude of one, indicating direction in space, while ""One Direction"" refers to a specific boy band or the concept of moving in a single direction. The connection is minimal and largely contextual rather than definitional.\n\nRating: 2'}"
